07-10 08:57:34.971     0     0 I I00000/HiLog: ========Zeroth log of type: init
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   credential.set                   ui-contract-only reducer-direct   CredentialHostAdapter    reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   credential.delete                ui-contract-only reducer-direct   CredentialHostAdapter    reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   tts.system.start                 ui-contract-only reducer-direct   TtsHostAdapter           reqs=ctx                  avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   tts.system.stop                  ui-contract-only reducer-direct   TtsHostAdapter           reqs=ctx                  avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   tts.system.pause                 ui-contract-only reducer-direct   TtsHostAdapter           reqs=ctx                  avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   tts.system.resume                ui-contract-only reducer-direct   TtsHostAdapter           reqs=ctx                  avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   permission.request               ui-contract-only reducer-direct   PermissionHostAdapter    reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   permission.check                 ui-contract-only reducer-direct   PermissionHostAdapter    reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   background.schedule              ui-contract-only reducer-direct   BackgroundHostAdapter    reqs=perm:ohos.permission.KEEP_BACKGROUND_RUNNING avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   background.cancel                ui-contract-only reducer-direct   BackgroundHostAdapter    reqs=perm:ohos.permission.KEEP_BACKGROUND_RUNNING avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   notification.show                ui-contract-only reducer-direct   NotificationHostAdapter  reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   notification.cancel              ui-contract-only reducer-direct   NotificationHostAdapter  reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   share.invoke                     ui-contract-only reducer-direct   ShareHostAdapter         reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   clipboard.copy                   ui-contract-only reducer-direct   ClipboardHostAdapter     reqs=-                    avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   clipboard.paste                  ui-contract-only reducer-direct   ClipboardHostAdapter     reqs=-                    avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   device.vibrate                   ui-contract-only reducer-direct   DeviceHostAdapter        reqs=-                    avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   device.screen.keep-on            ui-contract-only reducer-direct   ScreenHostAdapter        reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [HostManifest]   device.screen.release            ui-contract-only reducer-direct   ScreenHostAdapter        reqs=uiCtx                avail=true verified=false
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [EntryAbility] selfCheck=true — running all Host self-checks for device evidence
07-10 15:49:58.971 17189 17189 I A03d00/JSAPP: [CoreSelfCheck] abiVersion=1
07-10 15:49:58.972 17189 17189 I A03d00/JSAPP: [ReadingChainUi] start: dispatching search-submit query=斗破
07-10 15:49:58.974 17189 17189 I A03d00/JSAPP: [ReadingChainUi] before: searchQuery=""
07-10 15:49:59.014 17189 17189 I A03d00/JSAPP: [UiAdapter] webview.open opened=false profileId=self-check (real eval needs UI Web component)
07-10 15:49:59.014 17189 17189 I A03d00/JSAPP: [UiAdapter] webview.close closed=false profileId=self-check
07-10 15:49:59.014 17189 17189 I A03d00/JSAPP: [CoreSelfCheck] ping ok=true
07-10 15:49:59.014 17189 17189 I A03d00/JSAPP: [TtsSelfCheck] start started=true backend=textReader
07-10 15:49:59.015 17189 17189 I A03d00/JSAPP: [CoreSelfCheck] coreInfo={"abiVersion":1,"buildVersion":"reader-core-native 0.1.0","capabilities":["core.info","runtime.ping","runtime.hostSmoke","runtime.cancel","runtime.status","runtime.shutdown","runtime.setHostCapabilities","host.complete","host.error","host.bus.v1","http.execute","runtime.config.v1","remote.reading.v1","rss.v1","sync.v1","local_book.v1","bookshelf.v1"],"protocolVersion":1}
07-10 15:49:59.017 17189 17189 I A03d00/JSAPP: [CoreSelfCheck] hostSmoke type=result data={"capability":"host.smoke.echo","params":{"source":"harmony-sdk"},"status":"ok"}
07-10 15:49:59.032  1340  1340 I A01b00/SCB: SCBSCS: setMotionBlurRadius: 0, caller: sceneContainerZoomIn end
07-10 15:49:59.055  1340  1340 I A04200/WINDOW: SCBSceneSession: onSessionStateChange state:1
07-10 15:49:59.059  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.060  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBSceneSession: onSessionStateChange state:2
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBScreenSM: registerScreenPropertyChangeCallbacks caller: at onSessionStateChange (SCBSceneSession.ts:3135:55)
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBScreenSM: recordEventFromScb
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBScreenSM: registerScreenPropertyChangeCallbacks screenId: 0 true null false25
07-10 15:49:59.063  1340  1340 I A04209/WMSImms: win:42 foreground
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.063  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.063  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.063  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: onSceneStateChange,isForegroud:true,bundleName:com.minliny.reader,appIndex:0 sceneInfo.abilityName:EntryAbility
07-10 15:49:59.063  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: addGestureDockRecentPreference
07-10 15:49:59.063  1340  1340 I A01b01/HOME: AppModel: currentBundleInfoList length: 8
07-10 15:49:59.063  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: addGestureDockRecentPreference, bundleName:com.minliny.reader appIndex:0 abilityName:EntryAbility.
07-10 15:49:59.063  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: Index is -1
07-10 15:49:59.065  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: recent size is 3
07-10 15:49:59.065  1340  1340 I A01b0a/GESTURE: GestureDockPreferenceUtil: recentList length is 3
07-10 15:49:59.068  1340  1340 I A01b09/RECENT: RecentGestureEventManager: onSceneStateChange,isForegroud:true,bundleName:com.minliny.reader abilityName:EntryAbility
07-10 15:49:59.068  1340  1340 I A01b0a/GESTURE: AIBarView: bundleName:com.minliny.reader isEnterDeliver:false
07-10 15:49:59.068  1340  1340 I A04200/WINDOW: SCBSceneSession: onSessionStateChange state:3
07-10 15:49:59.068  1340  1340 I A0001b/AA: RecentlyUseController: buildRecentlyUseInfo {"bundleName":"com.minliny.reader","moduleName":"entry","abilityName":"EntryAbility","pid":17189,"uid":20020066,"state":2,"abilityType":1,"isAtomicService":false}
07-10 15:49:59.068  1340  1340 I A0001b/AA: RecentlyUseController: buildRecentlyUseInfo abilityStateData is exit
07-10 15:49:59.068  1340  1340 I A01a00/SYS_UI: PhoneAppManager: ability[com.minliny.reader|undefined|EntryAbility] state change to 2
07-10 15:49:59.076 17189 17189 I A03d00/JSAPP: [EntryAbility] register Noto Serif CJK SC font for UIContext failed: Error: [window][getUIContext]msg: Uicontent is nullptr.
07-10 15:49:59.076  1340  1340 I A04200/WINDOW: SCBSceneSession: on IsLayoutFullScreenChange:true
07-10 15:49:59.077  1340  1340 I A04209/WMSImms: win:42,AIbar:true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.077  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.077  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.077  1340  1340 I A04209/WMSImms: win:42,AIbar:true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.077  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.077  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.077  1340  1340 I A04209/WMSImms: win:42,AIbar:true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.077  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.077  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.077  1340  1340 I A04209/WMSImms: win:42,AIbar:true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.077  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.077  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.077  1340  1340 I A04209/WMSImms: win:42,AIbar:true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty navigationBarEnable: true
07-10 15:49:59.077  1340  1340 I A04200/WINDOW: SCBSSM: updateNavigationBarProperty 0
07-10 15:49:59.078  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: checkShowFloatingNavigation swich is closed
07-10 15:49:59.078  1340  1340 I A04200/WINDOW: SCBSSM: onStatusBarEnableChange screenId: 0 statusBarEnable: true
07-10 15:49:59.078  1340  1340 E A01b00/SCB: SCBCompatibilityModeManager: not in compatible mode
07-10 15:49:59.160  1340  1340 I A04200/WINDOW: SCBSceneSession: onSessionShowWhenLockedChange, status:false of id:42 ignored.
07-10 15:49:59.160 17189 17189 I A03d00/JSAPP: [LocalBook] step=1 txt getRawFileContent bytes=975 contentLen=435
07-10 15:49:59.160 17189 17189 I A03d00/JSAPP: [LocalBook] step=2a file.write path=files://local_book/sample.txt written=true bytes=975
07-10 15:49:59.160 17189 17189 I A03d00/JSAPP: [LocalBook] step=2b file.read path=files://local_book/sample.txt bytes=975 roundTripMatch=true
07-10 15:49:59.162 17189 17189 I A03d00/JSAPP: [UiAdapter] permission.check INTERNET granted=true
07-10 15:49:59.162 17189 17189 I A03d00/JSAPP: [SyncWebDav] step=1 credential.get url.exists=false user.exists=false password.exists=false
07-10 15:49:59.162 17189 17189 I A03d00/JSAPP: [SyncWebDav] step=2 SKIP missing webdav.url/webdav.user/webdav.password credential state
07-10 15:49:59.163 17189 17189 I A03d00/JSAPP: [UiAdapter] permission.check KEEP_BACKGROUND_RUNNING granted=true
07-10 15:49:59.167  1340  1340 I A04200/WINDOW: SCBSceneSession: onBufferAvailableChange, isBufferAvailable: true, id: 42,      bundleName: com.minliny.reader
07-10 15:49:59.167  1340  1340 I A04200/WINDOW: SCBScenePersistent: Set persistentId = 42 isAlive to true
07-10 15:49:59.168  1340  1340 I A04200/WINDOW: SCBSceneSession: bufferAvailableCallbackList length: 0
07-10 15:49:59.168  1340  1340 I A04209/WMSImms: win:42 app prop is applied
07-10 15:49:59.168  1340  1340 I A04209/WMSImms: prop is applied, isLayoutFullScreen: true
07-10 15:49:59.168  1340  1340 I A04209/WMSImms: get app prop:[5,true,"#FFFFF8F4","#FF1F1B17",false,false,null] isSetEnable:true uiType:phone isSetColor:true isLand:false
07-10 15:49:59.168  1340  1340 I A04209/WMSImms: update prop to callbacks. screenId:0 mainscreenId:0 window:42, prop:[5,true,"#FFFFF8F4","#FF1F1B17",false,false,null], size:7
07-10 15:49:59.168  1340  1340 I A01a00/SYS_UI: [LiveView]LiveCapsuleAnimMgr: set shadow capsule background color(#4D1F1B17)
07-10 15:49:59.168  1340  1340 I A01a00/SYS_UI: BaseStateManager: onImmersiveChange, isImmersive = false, isInImmersive = true
07-10 15:49:59.169  1340  1340 I A01a00/SYS_UI: BaseStateManagerAdapter: getBannerState
07-10 15:49:59.169  1340  1340 I A01a00/SYS_UI: EnvVm: onStateChange, type: 1
07-10 15:49:59.169  1340  1340 I A01a00/SYS_UI: EnvVm: onStateChange, isImmersive: false
07-10 15:49:59.169  1340  1340 I A01a00/SYS_UI: StatusBar-Index: registerSystemBarPropertyCallbacks, enable: true, enableAnimation:false, scenePanelState: 1
07-10 15:49:59.169  1340  1340 I A04200/WINDOW: SCBSSM: setIsShowStatusBarTemporary 42 false
07-10 15:49:59.169  1340  1340 I A01a00/SYS_UI: SCBStatusBarVM: isEnable changed: true --- enableAnimation changed: false, isExitRecentTask: false
07-10 15:49:59.169  1340  1340 I A04207/WMSFocus: setFocusableOnShow: true, systemName: SCBStatusBar17 id: 23
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemScene: onVisibilityChange: true systemName: SCBStatusBar17
07-10 15:49:59.170  1340  1340 W A04200/WINDOW: SCBSSM: Failed to get system Session with systemType: 1}
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSSM: refreshAvailableArea: statusBarHeight:0 dockHeight:0
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBScreenSession: SCBScreenSession
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemSceneSession: [SCBSystem]processStateChange, state: 2 id: 23 name: SCBStatusBar17
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemSceneSession: [SCBSystem]onSessionStateChange, id: 23, state: 2
07-10 15:49:59.170  1340  1340 I A01b00/SCB: BaseViewController: systemName: SCBStatusBar17 aboutToAppear currRect,left.getPxStr:0px
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: StatusBar-Index: onViewShow is coming, enable: false
07-10 15:49:59.170  1340  1340 I A01b0a/GESTURE: FloatingNavigationManager: proxy is undefined
07-10 15:49:59.170  1340  1340 I A01b0a/GESTURE: AIBarView: [AIBAR] receive SYSTEM_BAR_CHANGE, params=0, tempShowAiBar=false
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: StatusBar-Index: receive SYSTEM_BAR_CHANGE event, params=0
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: StatusBar-Index: clearDelayAwakeDismiss
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: StatusBar-Index: setDelayAwakeDismiss
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: SystemUI_BannerVm --> updateImmersiveStateBreak. isBreak: true
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: SystemUI_BannerVm --> refreshBannerStyle, marginTop:47, cardIWidth 328, itemWidth: 333.7142857142857, marginLeftRight: 16, marginStatusBarTop 8
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: BaseStateManagerAdapter: getBannerState
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: EnvVm: onStateChange, type: 1
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: EnvVm: onStateChange, isImmersive: false
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemScene: onVisibilityChange: false systemName: SCBGestureTopBar14
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemSceneSession: [SCBSystem]processStateChange, state: 5 id: 20 name: SCBGestureTopBar14
07-10 15:49:59.170  1340  1340 I A04200/WINDOW: SCBSystemSceneSession: [SCBSystem]onSessionStateChange, id: 20, state: 5
07-10 15:49:59.170  1340  1340 I A04207/WMSFocus: requestUnfocus id : 20, reason: 4, undefined
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: GestureTopBar-Index: onHide is coming
07-10 15:49:59.170  1340  1340 I A01b00/SCB: BaseViewController: hide GESTURE_TOP_BAR persistentId: 20
07-10 15:49:59.170  1340  1340 I A01a00/SYS_UI: EnvVm: onStatusBarShowHideChange, status show hide status change from false to true.
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: SCBStatusBarBuilder: on statusbar show.
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: viewVisibleChangeCallback true
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: ---layout refresh prepare: false delay: 0
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarSettingVm: checkIconFilterRule iconFilterType: 0
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: InitSnapShot filter rule: 0
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarCapsuleIconVm: StatusBarCapsuleIconVm isMiddleCutout: false, isRotationStart: false
07-10 15:49:59.171  1340  1340 W A01a00/SYS_UI: StatusBarLayoutVm: signalCanUseSpace 100 actual: 22.5 20.5
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: Left group overlap status_bar_do_not_disturb 58 46.78571428571428 62.78571428571428
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: ActualWidth: 22.5
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: capsule limit left: 54 right: 104.53571428571428
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarLayoutVm: isSameResult ignore!
07-10 15:49:59.171  1340  1340 I A01b00/SCB: BaseViewController: show STATUS_BAR persistentId: 23 isFocusableOnShow: true, screenId: undefined
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBar-Index: notifyNextAvoidRectInfo
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBar-Index: notifyNextAvoidRectInfo 23 1280 2832
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBar-Index: Rect 1280 2832
07-10 15:49:59.171  1340  1340 W A01a00/SYS_UI: StatusBar-Index: isEnable changed: true, statusBarOpacity is 1, immersive is false, enable animation: false
07-10 15:49:59.171  1340  1340 W A01a00/SYS_UI: StatusBarVMV2: System bar property change from #FF1F1B17 to #FF1F1B17 #FFFFF8F4
07-10 15:49:59.171  1340  1340 I A01a00/SYS_UI: StatusBarVMV2: updateTintContentColor enable true, enableAnimation false contentColor #FF1F1B17
07-10 15:49:59.172  1340  1340 W A01a00/SYS_UI: StatusBarBridgeView: onPluginContentColorChange #FF1F1B17
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: SystemUI_BannerVm --> onSystemBarProperty
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: SystemUI_BannerVm --> refreshBannerStyle, marginTop:47, cardIWidth 328, itemWidth: 333.7142857142857, marginLeftRight: 16, marginStatusBarTop 8
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: refreshBannerStyle. displayWidth: 1280, displayHeight: 2832
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: isBreak: true, isImmersive: false, statusBarIsVisible: true, 34.285714285714285
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: refreshBanner style marginTop:47, width 333.7142857142857
07-10 15:49:59.172  1340  1340 I A01a01/NC: BannerNotificationVm --> onBannerStyleChange.
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: refreshBannerStyle. displayWidth: 1280, displayHeight: 2832
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: isBreak: true, isImmersive: false, statusBarIsVisible: true, 34.285714285714285
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: BannerManager: refreshBanner style marginTop:47, width 333.7142857142857
07-10 15:49:59.172  1340  1340 I A01a00/SYS_UI: EnvVm: onStatusBarShowHideChange, status show hide status change from true to true.
07-10 15:49:59.173 17189 17189 I A03d00/JSAPP: [LocalBook] step=3 persistence round-trip found=true revision=1 valueMatch=true
07-10 15:49:59.173 17189 17189 I A03d00/JSAPP: [LocalBook] step=4a epub getRawFileContent bytes=1516
07-10 15:49:59.174 17189 17189 I A03d00/JSAPP: [LocalBook] step=4b epub written path=/data/storage/el2/base/haps/entry/files/local_book/sample.epub
07-10 15:49:59.178 17189 17189 I A03d00/JSAPP: [LocalBook] step=5 epub decompressed to=/data/storage/el2/base/haps/entry/files/local_book/sample.epub.extracted
07-10 15:49:59.181 17189 17189 I A03d00/JSAPP: [LocalBook] step=6 container.xml bytes=252 opfPath=OEBPS/content.opf
07-10 15:49:59.181 17189 17189 I A03d00/JSAPP: [LocalBook] step=7 opf bytes=732 title="Host Self-Check EPUB Sample" creator="Reader-for-HarmonyOS"
07-10 15:49:59.184  1340  1340 I A01a00/SYS_UI: StatusBarBridgeView: FrameCallback do
07-10 15:49:59.184  1340  1340 I A04200/WINDOW: SCBScreen: getScreenTranslateOptions: {"x":"0px","y":"0px"}
07-10 15:49:59.184  1340  1340 I A04200/WINDOW: SCBScreenSession: rotation0, rotationOffset:0
07-10 15:49:59.184  1340  1340 I A04200/WINDOW: SCBScreen: getScreenRotateOptions: {"x":0,"y":0,"z":1,"angle":0,"centerX":"50%","centerY":"50%"}
07-10 15:49:59.196 17189 17189 I A03d00/JSAPP: [LocalBook] step=8 persistence round-trip found=true revision=1 valueMatch=true
07-10 15:49:59.196 17189 17189 I A03d00/JSAPP: [LocalBook] DONE txt+epub local_book verified (full XML render is Core/UI job)
07-10 15:49:59.201  1340  1340 I A01a00/SYS_UI: AppLifeCycleManager: StateChanged, state is not page com.ohos.notificationdialog_entry_EnableNotificationDialog_18622
07-10 15:49:59.231 18622 18622 I A03d00/JSAPP: DialogAbilityStage onCreate
07-10 15:49:59.266  1340  1340 I A01a00/SYS_UI: AppLifeCycleManager: Ability state is not page com.ohos.notificationdialog_entry_EnableNotificationDialog_18622
07-10 15:49:59.266 18622 18622 I A03d00/JSAPP: NotificationDialog_Service  UIExtAbility onCreate
07-10 15:49:59.306 17189 18730 I C0420c/WMSEvent: SetCallingPid: id:1144147970, 18622
07-10 15:49:59.306 17189 18730 I C0420a/WMSLife: sessionStateChangeFunc is null
07-10 15:49:59.306 17189 18730 I C0420a/WMSLife: sessionStateChangeNotifyManagerFunc is null
07-10 15:49:59.306 17189 18730 E C04201/DMS: GetScreenSession: Error found screen session with id: 18446744073709551615
07-10 15:49:59.306 17189 18730 I C0420a/WMSLife: ConnectInner: set session id 1144147970 disableDelegator 0
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(-2:100000:singleton)] [@575][ID: 1] The session is connected and the current state is 'FOREGROUND'.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@1455][ID: 1] OnRemoteReady the current state is 'FOREGROUND'.
07-10 15:49:59.306 17189 17189 I C0391c/AceFocus: [(100000:100000:scope)] UIExtensionComponent/secure_field RequestFocusImmediately isOnMainTree:1
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@869][ID: 1] focused state notified to uiextension, persistentid = 1144147970, componentId=152.
07-10 15:49:59.306 18622 18734 I C0421d/WMSRotation: SetCurrentRotation: currentRotation: 0
07-10 15:49:59.306 17189 17189 I C0391c/AceFocus: [(100000:100000:scope)] FocusSwitch end, ModalPage/secure_field onBlur, UIExtensionComponent/secure_field onFocus, start: 2, end: 1, update: 2
07-10 15:49:59.306 17189 17189 I C03933/AceKeyboard: [(100000:100000:scope)] current focus node: (UIExtensionComponent/152). isDynamic: 0
07-10 15:49:59.306 17189 17189 I C03933/AceKeyboard: [(100000:100000:scope)] UIExtension(UIExtensionComponent/152) not need process.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@869][ID: 1] focused state notified to uiextension, persistentid = 1144147970, componentId=152.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] UIExtensionManager register listener
07-10 15:49:59.306 17189 17189 I C04217/WMSAttribute: GetExtensionConfig: waterfall: 0, winId: 42
07-10 15:49:59.306 17189 17189 I C04209/WMSImms: GetGestureBackEnabled: win 42 enable 1
07-10 15:49:59.306 18622 18734 I C04200/WindowExtensionSessionImpl: UpdateRect: [1280, 2832, reason: 0]
07-10 15:49:59.306 18622 18622 I C04208/WMSLayout: Connect: updateRect when connect.preRect:[0,0,0,0]rect:[0,0,1280,2832]
07-10 15:49:59.306 17189 17189 I C0395f/AceDynamicComponent: [(100000:100000:scope)] Create UIExtensionAccessibilityChildTreeCallback
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@1697][ID: 1] UIExtension: 151 register child tree, realHostWindowId: 42
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@2169][ID: 1] RegisterUIExtBusinessConsumeCallback businessCode=1002.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@2169][ID: 1] RegisterUIExtBusinessConsumeCallback businessCode=1001.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@2169][ID: 1] RegisterUIExtBusinessConsumeCallback businessCode=3002.
07-10 15:49:59.306 17189 17189 I C0392a/AceUiExtensionComponent: [(100000:100000:scope)] [@2184][ID: 1] NotifyHostWindowMode: instanceId = 100000, followStrategy = 0, mode = 1
07-10 15:49:59.306 18622 18622 I C0420a/WMSLife: Connect: Window Connect [name:com.ohos.notificationdialogEnableNotificationDialog, id:1144147970, type:3000], ret:0
07-10 15:49:59.306 18622 18736 I C04207/WMSFocus: NotifyFocusStateEvent: [1144147970,1]
07-10 15:49:59.306 18622 18622 I C04200/WMS: IsMainHandlerAvailable: id:1144147970, isAvailable:1
07-10 15:49:59.306 18622 18736 I C04207/WMSFocus: NotifyFocusStateEvent: [1144147970,1]
07-10 15:49:59.306 18622 18622 I C04200/WMS: IsMainHandlerAvailable: id:1144147970, isAvailable:1
07-10 15:49:59.306 18622 18622 I C02800/InputManagerImpl: [][SetWindowInputEventConsumer:364] enter
07-10 15:49:59.306  1340  1809 I C0420d/WMSUiext: UpdateModalExtensionRect: pid=18622, persistentId=1144147970, parentId=42, rect:[0 0 1280 2832]
